r,h,k,n,infected,msgs
0,4,4,2560,1,4
1,4,4,2560,5,20
2,4,4,2560,21,84
3,4,4,2560,85,340
4,4,4,2560,322,1288
5,4,4,2560,2130,10240
6,4,4,2560,2560,11960
7,4,4,2560,2560,11960
8,4,4,2560,2560,11960
9,4,4,2560,2560,11960
10,4,4,2560,2560,11960
11,4,4,2560,2560,11960
12,4,4,2560,2560,11960
13,4,4,2560,2560,11960
14,4,4,2560,2560,11960
15,4,4,2560,2560,11960
16,4,4,2560,2560,11960
17,4,4,2560,2560,11960
18,4,4,2560,2560,11960
19,4,4,2560,2560,11960
20,4,4,2560,2560,11960
21,4,4,2560,2560,11960
22,4,4,2560,2560,11960
23,4,4,2560,2560,11960
24,4,4,2560,2560,11960
25,4,4,2560,2560,11960
26,4,4,2560,2560,11960
27,4,4,2560,2560,11960
28,4,4,2560,2560,11960
29,4,4,2560,2560,11960
30,4,4,2560,2560,11960
31,4,4,2560,2560,11960
32,4,4,2560,2560,11960
33,4,4,2560,2560,11960
34,4,4,2560,2560,11960
35,4,4,2560,2560,11960
36,4,4,2560,2560,11960
37,4,4,2560,2560,11960
38,4,4,2560,2560,11960
39,4,4,2560,2560,11960
40,4,4,2560,2560,11960
41,4,4,2560,2560,11960
42,4,4,2560,2560,11960
43,4,4,2560,2560,11960
44,4,4,2560,2560,11960
45,4,4,2560,2560,11960
46,4,4,2560,2560,11960
47,4,4,2560,2560,11960
48,4,4,2560,2560,11960
49,4,4,2560,2560,11960
50,4,4,2560,2560,11960
51,4,4,2560,2560,11960
52,4,4,2560,2560,11960
53,4,4,2560,2560,11960
54,4,4,2560,2560,11960
55,4,4,2560,2560,11960
56,4,4,2560,2560,11960
57,4,4,2560,2560,11960
58,4,4,2560,2560,11960
59,4,4,2560,2560,11960
60,4,4,2560,2560,11960
61,4,4,2560,2560,11960
62,4,4,2560,2560,11960
63,4,4,2560,2560,11960
64,4,4,2560,2560,11960
65,4,4,2560,2560,11960
66,4,4,2560,2560,11960
67,4,4,2560,2560,11960
68,4,4,2560,2560,11960
69,4,4,2560,2560,11960
70,4,4,2560,2560,11960
71,4,4,2560,2560,11960
72,4,4,2560,2560,11960
73,4,4,2560,2560,11960
74,4,4,2560,2560,11960
75,4,4,2560,2560,11960
76,4,4,2560,2560,11960
77,4,4,2560,2560,11960
78,4,4,2560,2560,11960
79,4,4,2560,2560,11960
80,4,4,2560,2560,11960
81,4,4,2560,2560,11960
82,4,4,2560,2560,11960
83,4,4,2560,2560,11960
84,4,4,2560,2560,11960
85,4,4,2560,2560,11960
86,4,4,2560,2560,11960
87,4,4,2560,2560,11960
88,4,4,2560,2560,11960
89,4,4,2560,2560,11960
90,4,4,2560,2560,11960
91,4,4,2560,2560,11960
92,4,4,2560,2560,11960
93,4,4,2560,2560,11960
94,4,4,2560,2560,11960
95,4,4,2560,2560,11960
96,4,4,2560,2560,11960
97,4,4,2560,2560,11960
98,4,4,2560,2560,11960
99,4,4,2560,2560,11960
100,4,4,2560,2560,11960
101,4,4,2560,2560,11960
102,4,4,2560,2560,11960
103,4,4,2560,2560,11960
104,4,4,2560,2560,11960
105,4,4,2560,2560,11960
106,4,4,2560,2560,11960
107,4,4,2560,2560,11960
108,4,4,2560,2560,11960
109,4,4,2560,2560,11960
110,4,4,2560,2560,11960
111,4,4,2560,2560,11960
112,4,4,2560,2560,11960
113,4,4,2560,2560,11960
114,4,4,2560,2560,11960
115,4,4,2560,2560,11960
116,4,4,2560,2560,11960
117,4,4,2560,2560,11960
118,4,4,2560,2560,11960
119,4,4,2560,2560,11960
120,4,4,2560,2560,11960
121,4,4,2560,2560,11960
122,4,4,2560,2560,11960
123,4,4,2560,2560,11960
124,4,4,2560,2560,11960
125,4,4,2560,2560,11960
126,4,4,2560,2560,11960
127,4,4,2560,2560,11960
128,4,4,2560,2560,11960
129,4,4,2560,2560,11960
130,4,4,2560,2560,11960
131,4,4,2560,2560,11960
132,4,4,2560,2560,11960
133,4,4,2560,2560,11960
134,4,4,2560,2560,11960
135,4,4,2560,2560,11960
136,4,4,2560,2560,11960
137,4,4,2560,2560,11960
138,4,4,2560,2560,11960
139,4,4,2560,2560,11960
140,4,4,2560,2560,11960
141,4,4,2560,2560,11960
142,4,4,2560,2560,11960
143,4,4,2560,2560,11960
144,4,4,2560,2560,11960
145,4,4,2560,2560,11960
146,4,4,2560,2560,11960
147,4,4,2560,2560,11960
148,4,4,2560,2560,11960
149,4,4,2560,2560,11960
150,4,4,2560,2560,11960
151,4,4,2560,2560,11960
152,4,4,2560,2560,11960
153,4,4,2560,2560,11960
154,4,4,2560,2560,11960
155,4,4,2560,2560,11960
156,4,4,2560,2560,11960
157,4,4,2560,2560,11960
158,4,4,2560,2560,11960
159,4,4,2560,2560,11960
160,4,4,2560,2560,11960
161,4,4,2560,2560,11960
162,4,4,2560,2560,11960
163,4,4,2560,2560,11960
164,4,4,2560,2560,11960
165,4,4,2560,2560,11960
166,4,4,2560,2560,11960
167,4,4,2560,2560,11960
168,4,4,2560,2560,11960
169,4,4,2560,2560,11960
170,4,4,2560,2560,11960
171,4,4,2560,2560,11960
172,4,4,2560,2560,11960
173,4,4,2560,2560,11960
174,4,4,2560,2560,11960
175,4,4,2560,2560,11960
176,4,4,2560,2560,11960
177,4,4,2560,2560,11960
178,4,4,2560,2560,11960
179,4,4,2560,2560,11960
180,4,4,2560,2560,11960
181,4,4,2560,2560,11960
182,4,4,2560,2560,11960
183,4,4,2560,2560,11960
184,4,4,2560,2560,11960
185,4,4,2560,2560,11960
186,4,4,2560,2560,11960
187,4,4,2560,2560,11960
188,4,4,2560,2560,11960
189,4,4,2560,2560,11960
190,4,4,2560,2560,11960
191,4,4,2560,2560,11960
192,4,4,2560,2560,11960
193,4,4,2560,2560,11960
194,4,4,2560,2560,11960
195,4,4,2560,2560,11960
196,4,4,2560,2560,11960
197,4,4,2560,2560,11960
198,4,4,2560,2560,11960
199,4,4,2560,2560,11960
200,4,4,2560,2560,11960
201,4,4,2560,2560,11960
202,4,4,2560,2560,11960
203,4,4,2560,2560,11960
204,4,4,2560,2560,11960
205,4,4,2560,2560,11960
206,4,4,2560,2560,11960
207,4,4,2560,2560,11960
208,4,4,2560,2560,11960
209,4,4,2560,2560,11960
210,4,4,2560,2560,11960
211,4,4,2560,2560,11960
212,4,4,2560,2560,11960
213,4,4,2560,2560,11960
214,4,4,2560,2560,11960
215,4,4,2560,2560,11960
216,4,4,2560,2560,11960
217,4,4,2560,2560,11960
218,4,4,2560,2560,11960
219,4,4,2560,2560,11960
220,4,4,2560,2560,11960
221,4,4,2560,2560,11960
222,4,4,2560,2560,11960
223,4,4,2560,2560,11960
224,4,4,2560,2560,11960
225,4,4,2560,2560,11960
226,4,4,2560,2560,11960
227,4,4,2560,2560,11960
228,4,4,2560,2560,11960
229,4,4,2560,2560,11960
230,4,4,2560,2560,11960
231,4,4,2560,2560,11960
232,4,4,2560,2560,11960
233,4,4,2560,2560,11960
234,4,4,2560,2560,11960
235,4,4,2560,2560,11960
236,4,4,2560,2560,11960
237,4,4,2560,2560,11960
238,4,4,2560,2560,11960
239,4,4,2560,2560,11960
240,4,4,2560,2560,11960
241,4,4,2560,2560,11960
242,4,4,2560,2560,11960
243,4,4,2560,2560,11960
244,4,4,2560,2560,11960
245,4,4,2560,2560,11960
246,4,4,2560,2560,11960
247,4,4,2560,2560,11960
248,4,4,2560,2560,11960
249,4,4,2560,2560,11960
250,4,4,2560,2560,11960
251,4,4,2560,2560,11960
252,4,4,2560,2560,11960
253,4,4,2560,2560,11960
254,4,4,2560,2560,11960
255,4,4,2560,2560,11960
256,4,4,2560,2560,11960
257,4,4,2560,2560,11960
258,4,4,2560,2560,11960
259,4,4,2560,2560,11960
260,4,4,2560,2560,11960
261,4,4,2560,2560,11960
262,4,4,2560,2560,11960
263,4,4,2560,2560,11960
264,4,4,2560,2560,11960
265,4,4,2560,2560,11960
266,4,4,2560,2560,11960
267,4,4,2560,2560,11960
268,4,4,2560,2560,11960
269,4,4,2560,2560,11960
270,4,4,2560,2560,11960
271,4,4,2560,2560,11960
272,4,4,2560,2560,11960
273,4,4,2560,2560,11960
274,4,4,2560,2560,11960
275,4,4,2560,2560,11960
276,4,4,2560,2560,11960
277,4,4,2560,2560,11960
278,4,4,2560,2560,11960
279,4,4,2560,2560,11960
280,4,4,2560,2560,11960
281,4,4,2560,2560,11960
282,4,4,2560,2560,11960
283,4,4,2560,2560,11960
284,4,4,2560,2560,11960
285,4,4,2560,2560,11960
286,4,4,2560,2560,11960
287,4,4,2560,2560,11960
288,4,4,2560,2560,11960
289,4,4,2560,2560,11960
290,4,4,2560,2560,11960
291,4,4,2560,2560,11960
292,4,4,2560,2560,11960
293,4,4,2560,2560,11960
294,4,4,2560,2560,11960
295,4,4,2560,2560,11960
296,4,4,2560,2560,11960
297,4,4,2560,2560,11960
298,4,4,2560,2560,11960
299,4,4,2560,2560,11960
300,4,4,2560,2560,11960
301,4,4,2560,2560,11960
302,4,4,2560,2560,11960
303,4,4,2560,2560,11960
304,4,4,2560,2560,11960
305,4,4,2560,2560,11960
306,4,4,2560,2560,11960
307,4,4,2560,2560,11960
308,4,4,2560,2560,11960
309,4,4,2560,2560,11960
310,4,4,2560,2560,11960
311,4,4,2560,2560,11960
312,4,4,2560,2560,11960
313,4,4,2560,2560,11960
314,4,4,2560,2560,11960
315,4,4,2560,2560,11960
316,4,4,2560,2560,11960
317,4,4,2560,2560,11960
318,4,4,2560,2560,11960
319,4,4,2560,2560,11960
320,4,4,2560,2560,11960
321,4,4,2560,2560,11960
322,4,4,2560,2560,11960
323,4,4,2560,2560,11960
324,4,4,2560,2560,11960
325,4,4,2560,2560,11960
326,4,4,2560,2560,11960
327,4,4,2560,2560,11960
328,4,4,2560,2560,11960
329,4,4,2560,2560,11960
330,4,4,2560,2560,11960
331,4,4,2560,2560,11960
332,4,4,2560,2560,11960
333,4,4,2560,2560,11960
334,4,4,2560,2560,11960
335,4,4,2560,2560,11960
336,4,4,2560,2560,11960
337,4,4,2560,2560,11960
338,4,4,2560,2560,11960
339,4,4,2560,2560,11960
340,4,4,2560,2560,11960
341,4,4,2560,2560,11960
342,4,4,2560,2560,11960
343,4,4,2560,2560,11960
344,4,4,2560,2560,11960
345,4,4,2560,2560,11960
346,4,4,2560,2560,11960
347,4,4,2560,2560,11960
348,4,4,2560,2560,11960
349,4,4,2560,2560,11960
350,4,4,2560,2560,11960
351,4,4,2560,2560,11960
352,4,4,2560,2560,11960
353,4,4,2560,2560,11960
354,4,4,2560,2560,11960
355,4,4,2560,2560,11960
356,4,4,2560,2560,11960
357,4,4,2560,2560,11960
358,4,4,2560,2560,11960
359,4,4,2560,2560,11960
360,4,4,2560,2560,11960
361,4,4,2560,2560,11960
362,4,4,2560,2560,11960
363,4,4,2560,2560,11960
364,4,4,2560,2560,11960
365,4,4,2560,2560,11960
366,4,4,2560,2560,11960
367,4,4,2560,2560,11960
368,4,4,2560,2560,11960
369,4,4,2560,2560,11960
370,4,4,2560,2560,11960
371,4,4,2560,2560,11960
372,4,4,2560,2560,11960
373,4,4,2560,2560,11960
374,4,4,2560,2560,11960
375,4,4,2560,2560,11960
376,4,4,2560,2560,11960
377,4,4,2560,2560,11960
378,4,4,2560,2560,11960
379,4,4,2560,2560,11960
380,4,4,2560,2560,11960
381,4,4,2560,2560,11960
382,4,4,2560,2560,11960
383,4,4,2560,2560,11960
384,4,4,2560,2560,11960
385,4,4,2560,2560,11960
386,4,4,2560,2560,11960
387,4,4,2560,2560,11960
388,4,4,2560,2560,11960
389,4,4,2560,2560,11960
390,4,4,2560,2560,11960
391,4,4,2560,2560,11960
392,4,4,2560,2560,11960
393,4,4,2560,2560,11960
394,4,4,2560,2560,11960
395,4,4,2560,2560,11960
396,4,4,2560,2560,11960
397,4,4,2560,2560,11960
398,4,4,2560,2560,11960
399,4,4,2560,2560,11960
400,4,4,2560,2560,11960
401,4,4,2560,2560,11960
402,4,4,2560,2560,11960
403,4,4,2560,2560,11960
404,4,4,2560,2560,11960
405,4,4,2560,2560,11960
406,4,4,2560,2560,11960
407,4,4,2560,2560,11960
408,4,4,2560,2560,11960
409,4,4,2560,2560,11960
410,4,4,2560,2560,11960
411,4,4,2560,2560,11960
412,4,4,2560,2560,11960
413,4,4,2560,2560,11960
414,4,4,2560,2560,11960
415,4,4,2560,2560,11960
416,4,4,2560,2560,11960
417,4,4,2560,2560,11960
418,4,4,2560,2560,11960
419,4,4,2560,2560,11960
420,4,4,2560,2560,11960
421,4,4,2560,2560,11960
422,4,4,2560,2560,11960
423,4,4,2560,2560,11960
424,4,4,2560,2560,11960
425,4,4,2560,2560,11960
426,4,4,2560,2560,11960
427,4,4,2560,2560,11960
428,4,4,2560,2560,11960
429,4,4,2560,2560,11960
430,4,4,2560,2560,11960
431,4,4,2560,2560,11960
432,4,4,2560,2560,11960
433,4,4,2560,2560,11960
434,4,4,2560,2560,11960
435,4,4,2560,2560,11960
436,4,4,2560,2560,11960
437,4,4,2560,2560,11960
438,4,4,2560,2560,11960
439,4,4,2560,2560,11960
440,4,4,2560,2560,11960
441,4,4,2560,2560,11960
442,4,4,2560,2560,11960
443,4,4,2560,2560,11960
444,4,4,2560,2560,11960
445,4,4,2560,2560,11960
446,4,4,2560,2560,11960
447,4,4,2560,2560,11960
448,4,4,2560,2560,11960
449,4,4,2560,2560,11960
450,4,4,2560,2560,11960
451,4,4,2560,2560,11960
452,4,4,2560,2560,11960
453,4,4,2560,2560,11960
454,4,4,2560,2560,11960
455,4,4,2560,2560,11960
456,4,4,2560,2560,11960
457,4,4,2560,2560,11960
458,4,4,2560,2560,11960
459,4,4,2560,2560,11960
460,4,4,2560,2560,11960
461,4,4,2560,2560,11960
462,4,4,2560,2560,11960
463,4,4,2560,2560,11960
464,4,4,2560,2560,11960
465,4,4,2560,2560,11960
466,4,4,2560,2560,11960
467,4,4,2560,2560,11960
468,4,4,2560,2560,11960
469,4,4,2560,2560,11960
470,4,4,2560,2560,11960
471,4,4,2560,2560,11960
472,4,4,2560,2560,11960
473,4,4,2560,2560,11960
474,4,4,2560,2560,11960
475,4,4,2560,2560,11960
476,4,4,2560,2560,11960
477,4,4,2560,2560,11960
478,4,4,2560,2560,11960
479,4,4,2560,2560,11960
480,4,4,2560,2560,11960
481,4,4,2560,2560,11960
482,4,4,2560,2560,11960
483,4,4,2560,2560,11960
484,4,4,2560,2560,11960
485,4,4,2560,2560,11960
486,4,4,2560,2560,11960
487,4,4,2560,2560,11960
488,4,4,2560,2560,11960
489,4,4,2560,2560,11960
490,4,4,2560,2560,11960
491,4,4,2560,2560,11960
492,4,4,2560,2560,11960
493,4,4,2560,2560,11960
494,4,4,2560,2560,11960
495,4,4,2560,2560,11960
496,4,4,2560,2560,11960
497,4,4,2560,2560,11960
498,4,4,2560,2560,11960
499,4,4,2560,2560,11960
500,4,4,2560,2560,11960
501,4,4,2560,2560,11960
502,4,4,2560,2560,11960
503,4,4,2560,2560,11960
504,4,4,2560,2560,11960
505,4,4,2560,2560,11960
506,4,4,2560,2560,11960
507,4,4,2560,2560,11960
508,4,4,2560,2560,11960
509,4,4,2560,2560,11960
510,4,4,2560,2560,11960
511,4,4,2560,2560,11960
512,4,4,2560,2560,11960
513,4,4,2560,2560,11960
514,4,4,2560,2560,11960
515,4,4,2560,2560,11960
516,4,4,2560,2560,11960
517,4,4,2560,2560,11960
518,4,4,2560,2560,11960
519,4,4,2560,2560,11960
520,4,4,2560,2560,11960
521,4,4,2560,2560,11960
522,4,4,2560,2560,11960
523,4,4,2560,2560,11960
524,4,4,2560,2560,11960
525,4,4,2560,2560,11960
526,4,4,2560,2560,11960
527,4,4,2560,2560,11960
528,4,4,2560,2560,11960
529,4,4,2560,2560,11960
530,4,4,2560,2560,11960
531,4,4,2560,2560,11960
532,4,4,2560,2560,11960
533,4,4,2560,2560,11960
534,4,4,2560,2560,11960
535,4,4,2560,2560,11960
536,4,4,2560,2560,11960
537,4,4,2560,2560,11960
538,4,4,2560,2560,11960
539,4,4,2560,2560,11960
540,4,4,2560,2560,11960
541,4,4,2560,2560,11960
542,4,4,2560,2560,11960
543,4,4,2560,2560,11960
544,4,4,2560,2560,11960
545,4,4,2560,2560,11960
546,4,4,2560,2560,11960
547,4,4,2560,2560,11960
548,4,4,2560,2560,11960
549,4,4,2560,2560,11960
550,4,4,2560,2560,11960
551,4,4,2560,2560,11960
552,4,4,2560,2560,11960
553,4,4,2560,2560,11960
554,4,4,2560,2560,11960
555,4,4,2560,2560,11960
556,4,4,2560,2560,11960
557,4,4,2560,2560,11960
558,4,4,2560,2560,11960
559,4,4,2560,2560,11960
560,4,4,2560,2560,11960
561,4,4,2560,2560,11960
562,4,4,2560,2560,11960
563,4,4,2560,2560,11960
564,4,4,2560,2560,11960
565,4,4,2560,2560,11960
566,4,4,2560,2560,11960
567,4,4,2560,2560,11960
568,4,4,2560,2560,11960
569,4,4,2560,2560,11960
570,4,4,2560,2560,11960
571,4,4,2560,2560,11960
572,4,4,2560,2560,11960
573,4,4,2560,2560,11960
574,4,4,2560,2560,11960
575,4,4,2560,2560,11960
576,4,4,2560,2560,11960
577,4,4,2560,2560,11960
578,4,4,2560,2560,11960
579,4,4,2560,2560,11960
580,4,4,2560,2560,11960
581,4,4,2560,2560,11960
582,4,4,2560,2560,11960
583,4,4,2560,2560,11960
584,4,4,2560,2560,11960
585,4,4,2560,2560,11960
586,4,4,2560,2560,11960
587,4,4,2560,2560,11960
588,4,4,2560,2560,11960
589,4,4,2560,2560,11960
590,4,4,2560,2560,11960
591,4,4,2560,2560,11960
592,4,4,2560,2560,11960
593,4,4,2560,2560,11960
594,4,4,2560,2560,11960
595,4,4,2560,2560,11960
596,4,4,2560,2560,11960
597,4,4,2560,2560,11960
598,4,4,2560,2560,11960
599,4,4,2560,2560,11960
600,4,4,2560,2560,11960
601,4,4,2560,2560,11960
602,4,4,2560,2560,11960
603,4,4,2560,2560,11960
604,4,4,2560,2560,11960
605,4,4,2560,2560,11960
606,4,4,2560,2560,11960
607,4,4,2560,2560,11960
608,4,4,2560,2560,11960
609,4,4,2560,2560,11960
610,4,4,2560,2560,11960
611,4,4,2560,2560,11960
612,4,4,2560,2560,11960
613,4,4,2560,2560,11960
614,4,4,2560,2560,11960
615,4,4,2560,2560,11960
616,4,4,2560,2560,11960
617,4,4,2560,2560,11960
618,4,4,2560,2560,11960
619,4,4,2560,2560,11960
620,4,4,2560,2560,11960
621,4,4,2560,2560,11960
622,4,4,2560,2560,11960
623,4,4,2560,2560,11960
624,4,4,2560,2560,11960
625,4,4,2560,2560,11960
626,4,4,2560,2560,11960
627,4,4,2560,2560,11960
628,4,4,2560,2560,11960
629,4,4,2560,2560,11960
630,4,4,2560,2560,11960
631,4,4,2560,2560,11960
632,4,4,2560,2560,11960
633,4,4,2560,2560,11960
634,4,4,2560,2560,11960
635,4,4,2560,2560,11960
636,4,4,2560,2560,11960
637,4,4,2560,2560,11960
638,4,4,2560,2560,11960
